Period;Seller;SKU;Revenue;Sales;Balance;Turnover days;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;Comments;Days in website;Search cpm avg
дек;Алибеккадиева Айшат Абдулкеримовна;3192906830;0;0;0;0;23594;279;17593;17235;0;407;0
дек;Алигаджиева;9823433397;16590;10;1;2;67510;1136;46821;45865;232;4933;300
дек;Алимирзаев Гасан Мухтарович;4214854332;1814;1;1;31;40480;820;20619;20197;110;2676;0
дек;Алимирзаева Минара Мухтаровна;4653223289;8130;7;0;0;40550;970;21585;21143;418;5691;0
дек;Альбина;768335328;0;0;0;0;7700;119;5353;5244;0;1596;0
дек;Амиржан;896076088;0;0;0;0;13000;168;8658;8483;7;2181;0
дек;Апельсин шоп;2830784720;0;0;0;0;13100;362;7928;7764;258;433;0
дек;Асылбек Кызы Милана;1342808194;0;0;0;0;44886;310;17482;17130;1;371;0
дек;Асюля;263106786;0;0;0;0;1670;32;1124;1101;1;101;0
дек;Ахмедилова Эльвира Дибировна;279659910;0;0;0;0;1790;19;1449;1420;0;53;0
дек;Балашова Мадина Бейбитовна;267671580;2044;1;1;16;4000;58;1657;1623;0;84;0
дек;Бахтияров Магомед Муминович;263106158;0;0;0;0;1690;38;1037;1016;1;101;0
дек;Бахтиярова Имара Курбановна;440079194;0;0;0;0;3750;71;2358;2310;366;575;0
дек;Бахтиярова Сафия Аркадьевна;263227781;0;0;0;0;1935;40;1159;1135;33;97;0
дек;Бейбарыс П;2563494282;0;0;0;0;38170;148;33730;33048;2;6466;0
дек;Бекмирзаева Мадинат Абдулгамидовна;2496637453;0;0;0;0;21300;464;11968;11722;0;2665;0
дек;Бикиев Омурбек;1059142570;0;0;2;-1;22000;270;7023;6880;1;372;0
дек;Бота;4746331777;8410;3;9;28;120000;810;78465;76875;15;8856;0
дек;Василиск;613361313;0;0;0;0;6250;38;5062;4960;0;12;445
дек;Гаджиев Умар Магомедарипович;871858002;0;0;0;0;8500;104;6289;6161;0;1152;0
дек;Газиев Магомедзагид Магомедрасулович;228529040;0;0;0;0;2300;20;1825;1788;0;242;0
дек;Гасанбекова С. И;3454717582;0;0;0;0;120000;990;20493;20078;2;478;375
дек;Гасанов Шамиль Магомаевич;5120063844;6506;5;0;0;48500;919;30486;29865;350;8769;0
дек;Гасанова Аминат Ахмедовна;1659732442;0;0;0;0;17100;312;10388;10177;1;2623;0
дек;Деветов Мухтархан Рашитханович;463171828;0;0;0;0;3500;42;2748;2692;0;454;0
дек;Диана;258177789;0;0;0;0;3500;70;1036;1015;0;119;0
дек;Есболганова;5104430173;812;1;0;0;75100;1721;18544;18162;21;6233;0
дек;Заира;828537590;0;0;0;0;10500;132;6993;6851;0;1324;0
дек;Зайнулабидов Магомед Апанди Магомедович;645129580;0;0;0;0;5600;105;3628;3554;0;895;0
дек;Зульфия;198171142;0;0;0;0;2100;45;1149;1126;0;371;0
дек;ИП;694048512;2752;2;0;0;6500;151;3210;3144;7;683;0
дек;ИП Abaevna;292552799;0;0;0;0;4590;61;1748;1713;0;33;0
дек;ИП Abc;5917736848;672869;529;462;1267;69140;1390;30265;29647;5897;5351;0
дек;ИП Aikerbez;253296006;0;0;0;0;1500;37;931;931;0;137;0
дек;ИП Alioris;2256071113;0;0;0;0;20430;107;18328;17958;3;2538;0
дек;ИП All For You;1017430109;0;0;0;0;11200;126;7618;7464;0;528;0
дек;ИП B Stars;539445279;2462;2;23;123;7060;131;2399;2350;0;112;0
дек;ИП Balance;271354431;0;0;0;0;2200;43;1253;1227;0;75;0
дек;ИП Dibo;942481627;0;0;0;0;9000;186;4797;4699;18;822;0
дек;ИП I Like;3908839869;783204;566;593;2831;44469;679;22417;21963;681;953;0
дек;ИП Ksc;5906463243;717055;537;549;1387;82381;1516;31028;30395;3866;5341;172
дек;ИП Lotos;1923031691;0;0;0;0;13968;121;11462;11229;270;561;151
дек;ИП Loveskin;1199253724;0;0;0;0;9250;120;6459;6328;0;69;0
дек;ИП Matakana;528060201;0;0;13;-1;7200;126;2664;2610;1;192;0
дек;ИП Muratovna;648372078;0;0;0;0;7700;144;3957;3877;1;882;0
дек;ИП NS;480531012;0;0;0;0;2390;59;1669;1635;0;376;0
дек;ИП Orda Doors;211595464;0;0;0;0;2070;49;1041;1020;0;314;0
дек;ИП Premium Store;242123467;0;0;0;0;1211;26;896;878;0;180;0
дек;ИП Rose;878103488;0;0;0;0;10000;130;7400;7250;1;2390;0
дек;ИП Royal Mart;278168697;0;0;0;0;6000;84;925;906;0;53;0
дек;ИП Xdm;274694936;0;0;0;0;1400;9;1270;1244;0;60;0
дек;ИП Yergeshpayev;1593606394;142776;107;66;594;12030;205;7812;7652;2531;599;0
дек;ИП АН А А;3763481314;11944;11;0;0;30597;625;17475;17117;484;2059;0
дек;ИП Абдигали;476198635;163762;116;44;12;10000;148;2516;2464;622;396;138
дек;ИП Абдукеримова Н М;4625887597;0;0;0;0;34300;479;25075;24563;0;2228;0
дек;ИП Абдулманапов А П;30732938628;1412;1;0;0;217845;3523;151943;149268;13;15488;0
дек;ИП Абдулманапов Ш П;271242472;0;0;0;0;1800;45;985;965;0;74;0
дек;ИП Абильтаева;1551451607;0;0;0;0;13400;334;7012;6867;0;1904;0
дек;ИП Абрамов Антон Владимирович;770628564;64715;45;500;507;6200;89;4323;4235;9;353;0
дек;ИП Абрамова О П;4975056167;3697621;3031;2426;1974;35220;625;24581;24080;3209;5696;0
дек;ИП Абубакиров;3973550420;1177933;609;110;149;65500;969;25102;24591;87;2517;150
дек;ИП Агабегова С Ш;4634421056;0;0;1;-1;36300;994;15897;15570;3;2070;0
дек;ИП Адухов;3494625950;0;0;0;0;40500;464;28669;28087;1;4558;0
дек;ИП Азаев Р З;754353925;0;0;0;0;7400;113;4553;4461;3;454;0
дек;ИП Айгерим;765193012;0;0;0;0;4850;110;3039;2977;1;396;0
дек;ИП Алдарова;244464392;0;0;0;0;5000;69;1517;1486;0;168;0
дек;ИП Алекса;243941364;0;0;0;0;1700;45;930;911;0;171;0
дек;ИП Алескерова С А;676001559;0;0;0;0;5800;78;4292;4205;0;719;0
дек;ИП Алиев А М;3337644254;0;0;0;0;25500;436;18014;17645;6;4010;0
дек;ИП Алиева З А;3096888510;3515;3;7;-2;25050;454;16830;16485;329;3858;0
дек;ИП Алиева З З;1638723690;1136;1;0;0;19955;469;6252;6125;6;1463;0
дек;ИП Алиева И Г;8651786417;0;0;1;-1;56710;860;40215;39397;5;1174;0
дек;ИП Алиханов М Н;257896750;0;0;0;0;2000;40;1198;1174;0;118;0
дек;ИП Алхайров;1165866056;2696;2;0;0;25000;352;7255;7107;20;1075;0
дек;ИП Алхайрова;2109199084;1425;1;1;-1;23590;399;12740;12481;1724;1926;0
дек;ИП Амина;1076339235;0;0;0;0;11060;53;9567;9373;83;322;0
дек;ИП Андрей Ким;5795082198;14088;11;1;2;44439;882;26509;25966;126;2364;0
дек;ИП Арайлым;1034075356;0;0;0;0;9100;197;4016;3933;5;452;0
дек;ИП Арчаков Р А;212171635;0;0;0;0;2300;26;1702;1667;0;312;0
дек;ИП Асылбек;4312086121;4101;2;1;30;142141;1120;41999;41155;4;1313;0
дек;ИП Асылова;4112416486;2933;2;2;9;28550;180;25438;24919;64;3183;0
дек;ИП Ахматгириева А С;611395267;0;0;0;0;5800;80;3451;3381;0;19;0
дек;ИП Ахмедов А М;5981800320;20163;16;4;16;119380;1755;33440;32756;798;5003;0
дек;ИП Ахмедова;3961998276;0;0;0;0;39900;939;22102;21943;157;8731;0
дек;ИП Ахмедова У Д;263238969;0;0;0;0;3000;51;1458;1428;0;100;0
дек;ИП Ахмедова Э А;186899044;0;0;0;0;1785;48;912;893;77;417;0
дек;ИП Ачкасов Максим Геннадьевич;226679324;117055;143;0;0;3000;71;843;826;76;245;0
дек;ИП Аяла;1202258293;1871;1;0;0;30000;324;10356;10190;2;944;0
дек;ИП Бабаков М А;1065737641;0;0;0;0;19888;230;8277;8109;0;316;0
дек;ИП Байсейтова;1385240264;2486;2;0;0;36000;482;6880;6738;27;1383;0
дек;ИП Балиев А Г;1197793282;0;0;0;0;8390;95;6795;6657;4;955;0
дек;ИП Балнур;220105481;0;0;0;0;5995;41;3480;3410;0;278;0
дек;ИП Баринова Т Ю;519942520;0;0;0;0;3080;52;2278;2231;0;199;0
дек;ИП Бармина И С;1401172205;1383;1;0;0;10150;250;5821;5702;35;1309;0
дек;ИП Бачурина Е А;1731398615;0;0;0;0;12600;177;8786;8607;0;227;0
дек;ИП Бейсембаева;303673545;32525;15;283;283;3200;38;1965;1925;58;14;782
дек;ИП Бейспекова;1234806919;747;1;0;0;10750;226;5799;5681;14;803;0
дек;ИП Белов Г В;520388708;0;0;0;0;3080;52;2278;2231;0;199;0
дек;ИП Бехтер Н Ю;6066184601;0;0;0;0;146779;917;84590;82886;0;1293;0
дек;ИП Бозжаев;287196554;0;0;0;0;2200;27;1596;1564;0;37;0
дек;ИП Болодис А С;744160964;0;0;0;0;5620;115;3445;3375;0;498;0
дек;ИП Борисенко Елена Владимировна;6411982435;1447395;956;245;154;97977;1677;51551;50501;1695;19613;1258
дек;ИП Борисова Елена Николаевна;5842778008;12831;6;7;16;83873;1152;38759;37974;161;2145;0
дек;ИП Ботов Н В;2780008376;1437159;978;3596;2519;41950;715;18620;18240;993;4015;5822
дек;ИП Бурянина М А;785854657;62898;46;3;3;14566;252;5135;5030;146;1529;0
дек;ИП Варичкина О Н;2830821518;0;0;0;0;13100;365;7918;7754;0;413;0
дек;ИП Власов С В;3546347572;207195;165;100;186;56935;1032;21778;21336;1353;5028;544
дек;ИП Воронов Константин Станиславович;523412518;0;0;0;0;4394;68;2875;2816;0;211;0
дек;ИП Воронова Мария Александровна;523412467;0;0;0;0;4394;82;2588;2536;0;211;0
дек;ИП Гаджиев М Х;9202085841;5155;4;1;5;70000;1354;43281;42397;67;4604;0
дек;ИП Газиев О М;303183358;0;0;0;0;1800;27;1297;1271;0;15;0
дек;ИП Газимагомедов М А;2169489194;0;0;0;0;14500;295;9058;8873;0;599;0
дек;ИП Гаммер Л А;203843903;0;0;0;0;1600;26;1184;1160;2;322;0
дек;ИП Гарьянова Т Ю;974392395;0;0;0;0;14500;231;5957;5836;0;684;0
дек;ИП Гаухар;701729646;0;0;0;0;11380;196;3876;3797;4;463;0
дек;ИП Гахармани А В;1353270818;0;0;0;0;23100;208;17089;16743;2;4126;0
дек;ИП Горяной Д В;7989475100;0;0;0;0;82704;1122;52108;51052;1;3318;0
дек;ИП Гринина А С;1162578165;5640;4;21;389;14000;191;7144;6999;20;128;0
дек;ИП Гринь О Г;548889197;0;0;0;0;4689;115;1960;1919;0;132;0
дек;ИП Гулназ М;591231847;311195;184;2;0;6250;69;3756;3680;32;58;0
дек;ИП Гуревич Евгений Семенович;33005343;3735;3;4;24;7490;133;2449;2399;97;2860;0
дек;ИП Дария;978731891;0;0;0;0;20000;265;6586;6451;0;671;0
дек;ИП Дейнега Ю В;1477716880;0;0;0;0;18515;357;5212;5105;0;139;0
дек;ИП Джамуева Д Б;192065710;0;0;0;0;2580;38;1584;1552;0;399;0
дек;ИП Джаназаров;663656787;0;0;0;0;10650;214;3019;2957;2;821;0
дек;ИП Дженетов З Б;1952573893;1150;1;0;0;16330;250;10263;10053;1;418;0
дек;ИП Дин Ислам;2846083770;0;0;0;0;23200;142;20324;19910;27;2598;0
дек;ИП Динисламова Ж Н;530606642;0;0;0;0;6700;122;2493;2442;0;182;0
дек;ИП Дорожко;244752692;0;0;0;0;2220;38;1369;1341;0;167;0
дек;ИП Ермакова М М;7241922560;0;0;1;-1;78471;1139;49287;48288;1;6310;0
дек;ИП Ешиль К В;1793874647;0;0;0;0;19810;409;8218;8049;0;848;0
дек;ИП Жапарова Гулайым Рахатбековна;1857374416;0;0;0;0;15050;295;8569;8394;0;628;0
дек;ИП Жапарова М Т;582553405;0;0;0;0;10500;158;2189;2144;0;70;0
дек;ИП Желнин Е П;1779848987;0;0;0;0;24893;277;13196;12929;0;156;0
дек;ИП Женишбекова А Ж;4830782968;3088908;2289;989;418;42006;813;22531;22074;3136;1602;1165
дек;ИП Жеткерген;1131696783;0;0;0;0;10010;237;5195;5088;0;1253;0
дек;ИП Захарова О В;6116130688;0;0;0;0;81018;1309;38043;37299;2;4105;0
дек;ИП Ибрагимов К Ш;463769036;0;0;1;-1;3011;56;2147;2103;0;440;0
дек;ИП Ибраимова;868455632;5371;3;0;0;5997;78;4437;4347;18;111;0
дек;ИП Ивкин Данил Александрович;468625488;38796;33;135;482;6100;127;3477;3406;168;1704;200
дек;ИП Идрисова Н Ш;3783011871;1296;1;0;0;29050;308;22476;22021;2;1451;0
дек;ИП Ильясова П М;34518056870;43951;35;25;33;456100;3638;343464;336520;1235;33835;750
дек;ИП Иманмурзаева Ж М;231005867;0;0;0;0;1950;39;1184;1160;0;229;0
дек;ИП Исабекова;5592985242;0;0;0;0;412579;983;68110;66738;0;1824;0
дек;ИП Казбек;2148717918;5706;3;0;0;113000;508;75443;75201;207;811;0
дек;ИП Кайыржан;690107801;0;0;0;0;4600;151;2260;2214;2;700;0
дек;ИП Камбаралиев;1658156225;174660;109;34;349;59910;419;19715;19318;673;289;0
дек;ИП Канищева А С;697536238;0;0;0;0;4002;69;3078;3016;5;644;0
дек;ИП Каримбердиев;873264143;0;0;0;0;13110;133;9564;9369;1;2420;0
дек;ИП Каримов Р Ж;484510533;0;0;0;0;7400;140;2190;2146;4;310;0
дек;ИП Карлыгаш;951330084;58552;47;208;62;21996;318;4470;4379;556;800;0
дек;ИП Касулин А А;529682572;0;0;0;0;8394;58;5841;5724;0;188;0
дек;ИП Касымхан;412974381;0;0;0;0;14000;171;1968;1928;0;669;0
дек;ИП Ким;4302380016;845809;385;170;20;35818;671;21452;21012;1710;2221;276
дек;ИП Кисслер К;340841292;0;0;0;0;15000;159;3052;2990;0;1034;0
дек;ИП Ковальчук Анастасия Александровна;4633514649;288791;214;233;1073;98842;1675;53955;52859;2515;26754;453
дек;ИП Когай;2458835606;0;0;0;0;19854;115;17127;16781;0;451;0
дек;ИП Коншина Карина Владимировна;583342002;31767;17;306;670;8300;130;2885;2826;8;34;1101
дек;ИП Корбут А Д;1515922073;0;0;0;0;18390;228;9879;9678;0;55;0
дек;ИП Корнев А В;152767312;0;0;0;0;2628;45;1439;1410;0;219;0
дек;ИП Коростин В О;6383340729;3829;9;2;2;42335;734;27173;26620;109;1300;0
дек;ИП Косметиста;3803675814;62750;49;47;486;44596;973;17419;17062;332;3373;0
дек;ИП Костров А С;1032554403;296054;220;467;330;9250;254;3315;3247;118;232;1250
дек;ИП Котова Х В;241819798;0;0;0;0;2500;80;499;489;2;181;0
дек;ИП Кузина Зоя Тимофеевна;483802925;0;0;0;0;3650;73;2287;2240;5;354;0
дек;ИП Куликова Е А;525765396;0;0;0;0;4000;54;2895;2836;0;194;0
дек;ИП Куртымов Д С;2126958161;47500;24;2;0;19230;317;11486;11252;190;773;0
дек;ИП Кучумов А К;217671987;2754;2;0;0;1700;19;1377;1349;21;288;0
дек;ИП Кучумова Г Г;217671951;0;0;0;0;1700;19;1377;1349;9;288;0
дек;ИП ЛИ Ю В;563665583;0;0;0;0;4900;78;3626;3552;17;1249;0
дек;ИП Ландик Г А;1553266177;11887;11;23;119;9917;156;7270;7122;115;700;0
дек;ИП Лигай;322585596;0;0;0;0;4187;127;1585;1553;4;1190;0
дек;ИП Лигай Л Г;808440885;15846;13;21;133;11760;189;4351;4263;4;240;0
дек;ИП Липчак М С;1124829205;61613;54;113;1389;10390;209;6108;5983;259;1232;0
дек;ИП Литвиненко А Д;3354177073;7428;19;82;807;26040;568;13520;13243;8;559;0
дек;ИП Лузан Г П;1973737520;292;1;0;0;8430;236;5458;5346;1;193;0
дек;ИП Лыков А В;522781625;52049;56;1;1;4300;114;1845;1807;187;198;0
дек;ИП Ляниченко;211068988;0;0;0;0;2200;26;1628;1595;0;317;0
дек;ИП Магомедов М Д;257911049;0;0;0;0;5000;79;1036;1015;0;120;0
дек;ИП Магомедов С А;1791048499;1336;1;0;0;12300;254;7709;7552;4;904;0
дек;ИП Магомедова С И;1523920703;0;0;1;-1;35000;471;10909;10687;2;2017;0
дек;ИП Мадышанов;2385502156;1054;1;0;0;13900;345;8507;8332;170;523;0
дек;ИП Макаров Николай Николаевич;718548800;0;0;0;0;5216;78;3858;3779;0;564;0
дек;ИП Максатбеккызы;461684975;0;0;0;0;4500;54;3265;3198;14;460;0
дек;ИП Малачилов Ш А;531748709;0;0;0;0;6250;161;2661;2606;0;1419;0
дек;ИП Малютина С А;7491465171;0;0;0;0;65740;978;42532;41669;1;2192;0
дек;ИП Маметова;1511488985;0;0;0;0;25000;49;22503;22051;0;84;0
дек;ИП Манукян Д И;210493563;0;0;0;0;3300;35;2138;2095;0;320;0
дек;ИП Манхэттан;338288013;0;0;0;0;6500;26;5601;5488;0;1068;0
дек;ИП Маратович;264153718;0;0;0;0;7000;82;1243;1218;2;83;0
дек;ИП Мари;3544670231;1738447;1014;126;7;32540;480;21743;21300;144;3150;0
дек;ИП Матевосян В С;1044881224;0;0;0;0;18833;214;8719;8543;0;425;0
дек;ИП Махнинов Б В;298101759;0;0;0;0;1273;26;942;923;0;22;0
дек;ИП Мери;2288028695;1317;1;6;186;19290;285;13724;13444;3;2398;0
дек;ИП Мирзамагомедова У Г;676164658;0;0;0;0;8220;211;2383;2334;5;767;0
дек;ИП Мирзоев К Г;228115472;0;0;0;0;1990;26;1472;1442;0;244;0
дек;ИП Мирзоева Т Б;599461735;0;0;1;-1;2800;49;2140;2097;0;41;0
дек;ИП Мирохин Евгений Антонович;5565704871;1432;4;0;0;69528;1173;35678;34950;47;6260;0
дек;ИП Морозова Е А;731607163;1443;1;27;60;8000;155;3759;3683;94;483;0
дек;ИП Муртазалиев И С;16218165510;30190;20;4;15;176770;1689;130640;127994;574;12109;600
дек;ИП Мус;454680557;0;0;0;0;3073;79;1835;1797;4;496;0
дек;ИП Мялкина Т В;196691576;0;0;0;0;2000;26;1480;1450;0;381;0
дек;ИП Назар;1727566521;1370;1;2;-2;43950;524;18030;17664;71;3602;0
дек;ИП Накипова З М;337992680;0;0;0;0;3700;88;2075;2032;1;1055;0
дек;ИП Насрулаева У Р;308122884;0;0;0;0;2000;19;1620;1587;0;0;0
дек;ИП Нур Дин;227511667;0;0;0;0;1500;60;588;576;2;247;0
дек;ИП Нуридинова З Н;5827670872;1974;1;1;-1;107700;1500;36711;35966;0;3116;0
дек;ИП Объедкова;1183228660;45902;108;251;63;8250;135;5472;5362;30;112;2500
дек;ИП Олизко Е Б;3467355795;53818;77;402;874;32441;720;16474;16138;1646;4000;0
дек;ИП Омарова;1334422810;7036;5;1;-1;19000;291;7576;7422;305;479;0
дек;ИП Оригинальная Корейская Косметика;222017688;0;0;0;0;980;26;725;710;0;270;0
дек;ИП Орусхановна;528547809;0;0;0;0;2700;80;1635;1602;12;193;0
дек;ИП Оспанов Кайрат;5241584484;0;0;0;0;45583;323;36919;36171;0;1;0
дек;ИП Павловский В Ю;1696245521;8854;7;6;66;28770;435;14631;14334;586;3815;0
дек;ИП Пантелюк И С;6066315438;0;0;0;0;146779;917;84590;82886;0;1293;0
дек;ИП Петровский;544848971;0;0;0;0;3900;76;2068;2025;0;132;0
дек;ИП Попов О А;238462558;0;0;0;0;3000;63;1110;1087;429;189;0
дек;ИП Порхало Ю В;6051709564;5562;3;7;30;82845;1125;37176;36423;8;782;0
дек;ИП Пшигоцкая Д А;360432594;0;0;0;0;4740;74;2967;2906;1;865;0
дек;ИП Рамазанова Ш А;796966898;0;0;0;0;5900;142;3790;3712;0;1408;0
дек;ИП Рашидов М К;8531998627;21296;15;4;35;156200;2399;51083;50043;587;9109;0
дек;ИП Роман;6366525436;440524;335;417;19;51547;993;29459;28859;5313;2466;500
дек;ИП Рудов А Н;1365165843;0;0;0;0;11390;252;5630;5514;3;283;0
дек;ИП Рума;3014508489;0;0;0;0;28950;503;15620;15303;234;843;0
дек;ИП Рыбалко А Б;3400347579;85112;103;75;280;28453;669;14650;14349;166;2208;0
дек;ИП Рычагов;547518521;12810;12;39;257;6480;140;1936;1896;0;34;480
дек;ИП Садуакас;1890256391;0;0;1;-1;12850;182;9506;9313;3595;687;0
дек;ИП Салихов А С;3242127145;7688;5;0;0;27905;502;17824;17462;649;3432;0
дек;ИП Салихова К А;8729981320;989;1;0;0;70530;1352;44185;43284;7;7666;0
дек;ИП Сани;492477692;0;0;0;0;5080;101;2479;2428;0;321;0
дек;ИП Седова Т Н;4854923981;325878;215;906;5333;43220;712;26023;25495;188;1459;1240
дек;ИП Селимханов Т Т;1709771621;1355;1;0;0;14400;219;9818;9618;1;1187;0
дек;ИП Сембекова;224349754;0;0;0;0;1340;60;535;524;0;259;0
дек;ИП Сервис Плюс;4100612773;357217;296;3;-1;42260;704;22067;21619;528;1195;0
дек;ИП Серманизова;1519984702;0;0;0;0;25500;109;21425;20993;4;3321;0
дек;ИП Сорокин Александр Игоревич;4235871509;1858057;1359;1914;708;48529;863;23322;22846;3880;3232;7338
дек;ИП Студилко А А;3223070747;213;1;1;-1;6515;240;4821;4719;27;354;0
дек;ИП Сухарина А С;1494600312;366883;292;577;314;18000;304;8768;8591;4289;567;0
дек;ИП Сымбат;2039468681;0;0;0;0;18700;224;13447;13176;0;1029;0
дек;ИП Талдонов А Г;5894029462;0;0;0;0;70406;1102;46970;46014;14;16527;0
дек;ИП Талдонов В А;5895239572;0;0;0;0;71053;1102;47402;46437;2;16472;0
дек;ИП Талдонова В В;5792248834;0;0;0;0;68783;1069;45888;44952;2;15295;0
дек;ИП Талдонова О А;5816543486;0;0;0;0;68145;1069;45465;44541;11;15224;0
дек;ИП Талипов И М;427573767;0;0;0;0;4000;81;2351;2303;3;610;0
дек;ИП Таштаева Ф Р;426942066;0;0;0;0;4380;94;2244;2198;1;607;0
дек;ИП Темирбеков Д Т;581346603;0;0;0;0;7895;156;1718;1683;0;70;0
дек;ИП Темирболат;486023646;0;0;0;0;4949;133;1628;1595;0;347;0
дек;ИП Ткачук В Р;2066064919;0;0;0;0;26420;465;12577;12322;0;1764;0
дек;ИП Трофимов А М;520394965;0;0;0;0;3080;52;2278;2231;0;199;0
дек;ИП Трофимов А С;176884953;0;0;0;0;2800;71;808;791;3;456;0
дек;ИП Тюфтина Т А;459627476;0;0;0;0;7958;84;4593;4501;0;449;0
дек;ИП Тягулова;350903514;0;0;0;0;5660;88;3128;3064;2;969;0
дек;ИП Ульянкызы;448206563;0;0;0;0;10000;90;5442;5332;136;702;0
дек;ИП Умиралиева;1122190506;0;0;0;0;7300;96;5538;5425;3;225;0
дек;ИП Усукеева;3826200357;1178715;659;132;11;30020;364;22214;21763;165;1052;0
дек;ИП Уткин П А;274441296;0;0;0;0;3990;53;1842;1805;0;61;0
дек;ИП Файзы А Х;240097370;0;0;0;0;2500;23;1923;1884;0;187;0
дек;ИП Хаджиев И С;264617277;0;0;0;0;1990;39;1207;1182;0;56;0
дек;ИП Халикова Р К;3298337341;4569;3;3;1;36887;484;22255;21805;30;1735;0
дек;ИП Хилоу Л А;268952774;0;0;0;0;2100;26;1554;1522;0;78;0
дек;ИП Цой О;283001644;1251;1;0;0;3000;58;1251;1225;0;47;0
дек;ИП Цыба Алексей Игоревич;936611811;442949;346;193;696;11635;212;5195;5088;3772;915;0
дек;ИП Черемных А В;484002104;0;0;0;0;5000;91;2742;2686;20;355;0
дек;ИП Черникова Р В;2830818317;252;1;0;0;13100;362;7928;7764;0;432;0
дек;ИП Чернявская Т А;110685644;0;0;0;0;1600;55;710;695;0;885;0
дек;ИП Чобанян О С;4703142780;0;0;0;0;77640;1070;31092;30461;1;2031;0
дек;ИП Чупанов М М;5755262660;73161;47;4;9;49700;1030;30273;29655;859;7299;0
дек;ИП Чупанова Н Т;10107998730;0;0;0;0;76030;1264;50726;49693;0;2797;0
дек;ИП Шанкозова;482364561;43606;35;8;7;7406;123;2821;2763;17;348;0
дек;ИП Шапиева Н Н;2758493475;0;0;0;0;92400;449;42474;41616;4;4030;0
дек;ИП Шарихов;1195494234;0;0;0;0;6700;92;5155;5051;0;90;0
дек;ИП Шаталова Е Г;71895659;0;0;0;0;7000;51;3367;3299;0;1006;0
дек;ИП Шахрузат;228115348;0;0;0;0;1990;26;1472;1442;0;244;0
дек;ИП Шелобанова Д Д;502585190;0;0;0;0;3410;89;1880;1841;0;287;0
дек;ИП Широкородов В И;3670110178;225213;220;330;711;43591;1084;15557;15238;986;4695;400
дек;ИП Шихмагомедов Ш А;1332892987;0;0;0;0;14150;182;10471;10258;0;2844;0
дек;ИП Шкуров И А;3257836825;100641;75;161;967;45000;787;15368;15054;39;810;7494
дек;ИП Шувалова А В;326120102;0;0;0;0;5354;89;2971;2911;0;884;0
дек;ИП Эсманов Илья Петрович;2412462839;590555;485;735;547;60845;989;17559;17201;1075;7192;850
дек;ИП Яневская М Ю;288099788;0;0;0;0;2297;25;1711;1676;0;40;0
дек;ИП Яневский Ю М;290689089;0;0;0;0;2297;25;1711;1676;0;36;0
дек;ИП Янишевский;176326453;0;0;1;-1;1500;53;699;685;10;477;0
дек;Ильясов М. И.;1586557886;0;0;0;0;14683;208;10863;10642;0;2960;0
дек;Ип Жумахан;667061713;0;0;0;0;5791;136;3159;3094;0;808;0
дек;Ип Ибраева;232355800;0;0;0;0;2000;64;714;714;0;224;0
дек;Ислам Запирович Раджабов;877218579;0;0;0;0;7899;140;5117;5013;1;1128;0
дек;К.а.а;5693829445;36350;22;4;18;54850;484;43667;42783;2184;4980;0
дек;Косметика;178201730;0;0;0;0;1850;31;1259;1233;1;454;0
дек;Красота Залог Успеха;1688913143;0;0;0;0;28600;478;8908;8727;2;1379;0
дек;Куулар А.в.;243835827;0;0;0;0;2500;72;700;700;0;172;0
дек;Кучумов Казиахмед Аличубанович;1739207131;0;0;1;-1;12300;186;8977;8794;17;1118;0
дек;Лили;4481078089;78809;46;120;0;42597;494;30010;29399;67;1910;222
дек;Лукасевич Е. В.;1776699992;0;0;0;0;24893;275;13292;13023;0;162;0
дек;Лучший Магазин;298109995;0;0;0;0;2250;9;2041;2000;3;24;0
дек;МБ;599581956;0;0;0;0;6550;78;4846;4747;0;1069;0
дек;МПГ;195404628;0;0;0;0;1680;26;1243;1218;0;388;0
дек;Магомедов А.А;919796433;0;0;0;0;8700;100;6503;6372;3;944;0
дек;Магомедов К.р.;530399433;0;0;0;0;6600;107;3051;2989;0;194;0
дек;Магомедов Магомед Гаджимурадович;25597558488;4962;3;3;-3;333310;2676;248101;243087;197;20137;0
дек;Магомедова Саида Магомедовна;219091916;0;0;0;0;2200;57;931;912;1;283;0
дек;Меджидов;12741410008;107483;61;77;156;163400;1776;114124;111811;4489;17783;875
дек;Мукаилов Вагиф Бейбалаевич;2085609322;0;0;0;0;70000;565;13122;12857;5;164;276
дек;Муртузалиева Зубейдат Султановна;272587142;0;0;0;0;7000;75;1701;1666;2;70;0
дек;Мутаев Арсланбек Магомедрасулович;231849684;0;0;0;0;2200;35;1425;1396;2;226;0
дек;НМ;1179410381;0;0;0;0;9365;188;5755;5639;76;833;0
дек;НУР;1533037834;0;0;0;0;11100;202;7298;7149;4;774;0
дек;Нагметова Айна Абдужелиловна;465247087;0;0;0;0;3400;84;1998;1957;0;421;0
дек;Нуридинова Х.н.;2516310732;1637;1;0;0;48000;653;16441;16108;2;1416;0
дек;ООО Амрус;10220159492;1862911;996;647;1301;178616;2484;76244;74698;1769;8534;0
дек;ООО Бьюти Стар;7353227199;1113;1;1;-1;79466;1239;47424;46458;11;6393;0
дек;ООО ДТС;4555194540;38788;31;1;2;63910;1232;40137;39319;6101;24855;0
дек;ООО Джапандоставка;1573003476;0;0;1;-1;26766;270;16356;16027;0;1790;0
